35 MHz                   |   50 MHz                   |   100 MHz                |   110 MHz
-------------------------+----------------------------+--------------------------+----------------------------
00400005 = 4194309       |   00400005 = 4194309       |   00400005 = 4194309     |   00400005 = 4194309
                         |                            |                          |
62F580FC = 1660256508    |   62E580FC = 1659207932    |   62D580FC = 1658159356  |   62D580FC = 1658159356
                         |                            |                          |
00001F23 = 7971          |   00001F23 = 7971          |   00001F23 = 7971        |   00001F23 = 7971
                         |                            |                          |
00009F42 = 40770         |   00009F42 = 40770         |   00009F42 = 40770       |   00009F42 = 40770
                         |                            |                          |
400103E9 = 1073808361    |   400103E9 = 1073808361    |   400103E9 = 1073808361  |   400103E9 = 1073808361
                         |                            |                          |
004A8150 = 4882768       |   00350298 = 3474072       |   00350298 = 3474072     |   003A8150 = 3834192

